"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"SP.POP.1564.TO.ZS","Health: Population: Structure","Population ages 15-64 (% of total)","","Total population between the ages 15 to 64 as a percentage of the total population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","","Annual","","","Weighted average","Because the five-year age group is the cohort unit and five-year period data are used in the United Nations Population Division's World Population Prospects, interpolations to obtain annual data or single age structure may not reflect actual events or age composition. For more information, see the original source.","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","Age structure in the World Bank's population estimates is based on the age structure in United Nations Population Division's World Population Prospects. For more information, see the original source.

Total population is based on the de facto population including all residents regardless of legal status or citizenship. The values shown are midyear estimates. For more information see metadata for total population (SP.POP.TOTL).","Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.

This indicator is used for calculating age dependency ratio (percent of working-age population). The age dependency ratio is the ratio of the sum of the population aged 0-14 and the population aged 65 and above to the population aged 15-64. In many developing countries, the once rapidly growing population group of the under-15 population is shrinking. As a result, high fertility rates, together with declining mortality rates, are now reflected in the larger share of the 65 and older population.","","","","CC BY-4.0",
"SP.POP.2024.FE","Health: Population: Structure","Population ages 20-24, female","","Female population between the ages 20 to 24.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.2024.FE.5Y","Health: Population: Structure","Population ages 20-24, female (% of female population)","","Female population between the ages 20 to 24 as a percentage of the total female population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.2024.MA","Health: Population: Structure","Population ages 20-24, male","","Male population between the ages 20 to 24.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.2024.MA.5Y","Health: Population: Structure","Population ages 20-24, male (% of male population)","","Male population between the ages 20 to 24 as a percentage of the total male population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.2529.FE","Health: Population: Structure","Population ages 25-29, female","","Female population between the ages 25 to 29.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.2529.FE.5Y","Health: Population: Structure","Population ages 25-29, female (% of female population)","","Female population between the ages 25 to 29 as a percentage of the total female population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.2529.MA","Health: Population: Structure","Population ages 25-29, male","","Male population between the ages 25 to 29.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.2529.MA.5Y","Health: Population: Structure","Population ages 25-29, male (% of male population)","","Male population between the ages 25 to 29 as a percentage of the total male population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.3034.FE","Health: Population: Structure","Population ages 30-34, female","","Female population between the ages 30 to 34.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.3034.FE.5Y","Health: Population: Structure","Population ages 30-34, female (% of female population)","","Female population between the ages 30 to 34 as a percentage of the total female population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.3034.MA","Health: Population: Structure","Population ages 30-34, male","","Male population between the ages 30 to 34.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.3034.MA.5Y","Health: Population: Structure","Population ages 30-34, male (% of male population)","","Male population between the ages 30 to 34 as a percentage of the total male population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.3539.FE","Health: Population: Structure","Population ages 35-39, female","","Female population between the ages 35 to 39.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.3539.FE.5Y","Health: Population: Structure","Population ages 35-39, female (% of female population)","","Female population between the ages 35 to 39 as a percentage of the total female population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.3539.MA","Health: Population: Structure","Population ages 35-39, male","","Male population between the ages 35 to 39.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.3539.MA.5Y","Health: Population: Structure","Population ages 35-39, male (% of male population)","","Male population between the ages 35 to 39 as a percentage of the total male population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.4044.FE","Health: Population: Structure","Population ages 40-44, female","","Female population between the ages 40 to 44.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.4044.FE.5Y","Health: Population: Structure","Population ages 40-44, female (% of female population)","","Female population between the ages 40 to 44 as a percentage of the total female population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.4044.MA","Health: Population: Structure","Population ages 40-44, male","","Male population between the ages 40 to 44.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.4044.MA.5Y","Health: Population: Structure","Population ages 40-44, male (% of male population)","","Male population between the ages 40 to 44 as a percentage of the total male population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.4549.FE","Health: Population: Structure","Population ages 45-49, female","","Female population between the ages 45 to 49.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.4549.FE.5Y","Health: Population: Structure","Population ages 45-49, female (% of female population)","","Female population between the ages 45 to 49 as a percentage of the total female population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.4549.MA","Health: Population: Structure","Population ages 45-49, male","","Male population between the ages 45 to 49.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.4549.MA.5Y","Health: Population: Structure","Population ages 45-49, male (% of male population)","","Male population between the ages 45 to 49 as a percentage of the total male population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.5054.FE","Health: Population: Structure","Population ages 50-54, female","","Female population between the ages 50 to 54.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.5054.FE.5Y","Health: Population: Structure","Population ages 50-54, female (% of female population)","","Female population between the ages 50 to 54 as a percentage of the total female population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.5054.MA","Health: Population: Structure","Population ages 50-54, male","","Male population between the ages 50 to 54.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.5054.MA.5Y","Health: Population: Structure","Population ages 50-54, male (% of male population)","","Male population between the ages 50 to 54 as a percentage of the total male population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.5559.FE","Health: Population: Structure","Population ages 55-59, female","","Female population between the ages 55 to 59.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.5559.FE.5Y","Health: Population: Structure","Population ages 55-59, female (% of female population)","","Female population between the ages 55 to 59 as a percentage of the total female population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.5559.MA","Health: Population: Structure","Population ages 55-59, male","","Male population between the ages 55 to 59.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.5559.MA.5Y","Health: Population: Structure","Population ages 55-59, male (% of male population)","","Male population between the ages 55 to 59 as a percentage of the total male population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.6064.FE","Health: Population: Structure","Population ages 60-64, female","","Female population between the ages 60 to 64.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.6064.FE.5Y","Health: Population: Structure","Population ages 60-64, female (% of female population)","","Female population between the ages 60 to 64 as a percentage of the total female population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.6064.MA","Health: Population: Structure","Population ages 60-64, male","","Male population between the ages 60 to 64.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.6064.MA.5Y","Health: Population: Structure","Population ages 60-64, male (% of male population)","","Male population between the ages 60 to 64 as a percentage of the total male population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.6569.FE","Health: Population: Structure","Population ages 65-69, female","","Female population between the ages 65 to 69.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.6569.FE.5Y","Health: Population: Structure","Population ages 65-69, female (% of female population)","","Female population between the ages 65 to 69 as a percentage of the total female population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.6569.MA","Health: Population: Structure","Population ages 65-69, male","","Male population between the ages 65 to 69.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.6569.MA.5Y","Health: Population: Structure","Population ages 65-69, male (% of male population)","","Male population between the ages 65 to 69 as a percentage of the total male population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.65UP.FE.IN","Health: Population: Structure","Population ages 65 and above, female","","Female population 65 years of age or older. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","","Annual","","","Sum","","","Relevance to gender indicator: Knowing how many girls, adolescents and women there are in a population helps a country in determining its provision of services.","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.65UP.FE.ZS","Health: Population: Structure","Population ages 65 and above, female (% of total)","","Female population 65 years of age or older as a percentage of the total female population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","","Annual","","","Weighted average","","","Relevance to gender indicator: Knowing how many girls, adolescents and women there are in a population helps a country in determining its provision of services.","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.65UP.MA.IN","Health: Population: Structure","Population ages 65 and above, male","","Male population 65 years of age or older. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.65UP.MA.ZS","Health: Population: Structure","Population ages 65 and above, male (% of total)","","Male population 65 years of age or older as a percentage of the total male population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","","Annual","","","Weighted average","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.65UP.TO","Health: Population: Structure","Population ages 65 and above, total","","Total population 65 years of age or older. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.65UP.TO.ZS","Health: Population: Structure","Population ages 65 and above (% of total)","","Population ages 65 and above as a percentage of the total population. Population is based on the de facto definition of population, which counts all residents regardless of legal status or citizenship.","","Annual","","","Weighted average","Because the five-year age group is the cohort unit and five-year period data are used in the United Nations Population Division's World Population Prospects, interpolations to obtain annual data or single age structure may not reflect actual events or age composition. For more information, see the original source.","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","Age structure in the World Bank's population estimates is based on the age structure in United Nations Population Division's World Population Prospects. For more information, see the original source. Total population is based on the de facto population including all residents regardless of legal status or citizenship. The values shown are midyear estimates. For more information see metadata for total population (SP.POP.TOTL).","Patterns of development in a country are partly determined by the age composition of its population. Different age groups have different impacts on both the environment and on infrastructure needs.  Therefore the age structure of a population is useful for analyzing resource use and formulating future policy and planning goals  with regards infrastructure and development.

This indicator is used for calculating age dependency ratio (percent of working-age population). The age dependency ratio is the ratio of the sum of the population aged 0-14 and the population aged 65 and above to the population aged 15-64. In many developing countries, the once rapidly growing population group of the under-15 population is shrinking. As a result, high fertility rates, together with declining mortality rates, are now reflected in the larger share of the 65 and older population.","","","","CC BY-4.0",
"SP.POP.7074.FE","Health: Population: Structure","Population ages 70-74, female","","Female population between the ages 70 to 74.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.7074.FE.5Y","Health: Population: Structure","Population ages 70-74, female (% of female population)","","Female population between the ages 70 to 74 as a percentage of the total female population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.7074.MA","Health: Population: Structure","Population ages 70-74, male","","Male population between the ages 70 to 74.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.7074.MA.5Y","Health: Population: Structure","Population ages 70-74, male (% of male population)","","Male population between the ages 70 to 74 as a percentage of the total male population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.7579.FE","Health: Population: Structure","Population ages 75-79, female","","Female population between the ages 75 to 79.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.7579.FE.5Y","Health: Population: Structure","Population ages 75-79, female (% of female population)","","Female population between the ages 75 to 79 as a percentage of the total female population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.7579.MA","Health: Population: Structure","Population ages 75-79, male","","Male population between the ages 75 to 79.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.7579.MA.5Y","Health: Population: Structure","Population ages 75-79, male (% of male population)","","Male population between the ages 75 to 79 as a percentage of the total male population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.80UP.FE","Health: Population: Structure","Population ages 80 and above, female","","Female population between the ages 80 and above.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.80UP.FE.5Y","Health: Population: Structure","Population ages 80 and above, female (% of female population)","","Female population between the ages 80 and above as a percentage of the total female population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.80UP.MA","Health: Population: Structure","Population ages 80 and above, male","","Male population between the ages 80 and above.","","Annual","","","Sum","","","","World Bank staff estimates using the World Bank's total population and age/sex distributions of the United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.80UP.MA.5Y","Health: Population: Structure","Population ages 80 and above, male (% of male population)","","Male population between the ages 80 and above as a percentage of the total male population.","","Annual","","","","","","","World Bank staff estimates based on age/sex distributions of United Nations Population Division's World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG00.FE.IN","Health: Population: Structure","Age population, age 0, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG00.MA.IN","Health: Population: Structure","Age population, age 0, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG01.FE.IN","Health: Population: Structure","Age population, age 01, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG01.MA.IN","Health: Population: Structure","Age population, age 01, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG02.FE.IN","Health: Population: Structure","Age population, age 02, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG02.MA.IN","Health: Population: Structure","Age population, age 02, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG03.FE.IN","Health: Population: Structure","Age population, age 03, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG03.MA.IN","Health: Population: Structure","Age population, age 03, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG04.FE.IN","Health: Population: Structure","Age population, age 04, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG04.MA.IN","Health: Population: Structure","Age population, age 04, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG05.FE.IN","Health: Population: Structure","Age population, age 05, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG05.MA.IN","Health: Population: Structure","Age population, age 05, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG06.FE.IN","Health: Population: Structure","Age population, age 06, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG06.MA.IN","Health: Population: Structure","Age population, age 06, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG07.FE.IN","Health: Population: Structure","Age population, age 07, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG07.MA.IN","Health: Population: Structure","Age population, age 07, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG08.FE.IN","Health: Population: Structure","Age population, age 08, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG08.MA.IN","Health: Population: Structure","Age population, age 08, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG09.FE.IN","Health: Population: Structure","Age population, age 09, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG09.MA.IN","Health: Population: Structure","Age population, age 09, male, interpolated","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG10.FE.IN","Health: Population: Structure","Age population, age 10, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG10.MA.IN","Health: Population: Structure","Age population, age 10, male","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG11.FE.IN","Health: Population: Structure","Age population, age 11, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG11.MA.IN","Health: Population: Structure","Age population, age 11, male","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG12.FE.IN","Health: Population: Structure","Age population, age 12, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG12.MA.IN","Health: Population: Structure","Age population, age 12, male","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG13.FE.IN","Health: Population: Structure","Age population, age 13, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG13.MA.IN","Health: Population: Structure","Age population, age 13, male","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG14.FE.IN","Health: Population: Structure","Age population, age 14, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG14.MA.IN","Health: Population: Structure","Age population, age 14, male","Age population, male refers to male population at the specified age level.","Age population, male refers to male population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
"SP.POP.AG15.FE.IN","Health: Population: Structure","Age population, age 15, female, interpolated","Age population, female refers to female population at the specified age level.","Age population, female refers to female population at the specified age level. The geographical areas included in the data are the same as the data source.","","Annual","","","","","","","United Nations Population Division. World Population Prospects: 2017 Revision.","","","","","","CC BY-4.0",
